0.37132 1:0.26592 2:0.265892 3:0.714928535467987 4:0.171 5:0.945452737766528 6:0.311624 7:0.911102894854934 8:0.331785 9:0.177716 10:0.296831 11:0.287751 12:0.2883 13:0.796510887431526 14:0.790987700122713 15:0.759550561797753 16:0.678651685393258 17:0.799455706072509 18:0.944953931580313 19:0.875280898876404 20:1.23551120006 21:0.2022 22:0.2921 23:0.2472 30:0.304412 #T0911:Atome2_CBS_TS1
0.58395 1:0.81181 2:0.420215 3:0.897114208641608 4:0.337 5:1 6:0.492076 7:1 8:0.67739 9:0.610759 10:0.64166 11:0.662228 12:0.4361 13:1 14:0.839302531320453 15:0.842696629213483 16:0.791011235955056 17:0.841370601682202 18:0.949264745188801 19:0.917977528089888 20:1.35894511567 21:0.4382 22:0.5056 23:0.9888 30:0.516377 #T0911:BAKER-ROSETTASERVER_TS1
0.60539 1:0.71127 2:0.433724 3:0.841882278747282 4:0.346 5:1 6:0.468093 7:1 8:0.638597 9:0.605655 10:0.605432 11:0.626673 12:0.4475 13:0.990329040152301 14:0.832510487714392 15:0.874157303370787 16:0.77752808988764 17:0.835760690974262 18:0.946896033562463 19:0.933707865168539 20:1.30819298268 21:0.4157 22:0.573 23:0.9888 30:0.510178 #T0911:BAKER-ROSETTASERVER_TS2
0.61091 1:0.75424 2:0.437253 3:0.864406130788676 4:0.353 5:1 6:0.461029 7:1 8:0.620135 9:0.581171 10:0.561332 11:0.59703 12:0.4525 13:0.970147666312143 14:0.826774350047088 15:0.831460674157303 16:0.77752808988764 17:0.829350784791138 18:0.946356752979131 19:0.912359550561798 20:1.26737461429 21:0.4157 22:0.5056 23:1 30:0.507763 #T0911:BAKER-ROSETTASERVER_TS3
0.6201 1:0.76612 2:0.430438 3:0.845081624058813 4:0.349 5:1 6:0.467761 7:1 8:0.635336 9:0.555026 10:0.57517 11:0.60377 12:0.4455 13:0.974870787809277 14:0.827544876002397 15:0.829213483146067 16:0.806741573033708 17:0.831671201994855 18:0.948021221212614 19:0.91123595505618 20:1.35974011573 21:0.4719 22:0.5169 23:1 30:0.514081 #T0911:BAKER-ROSETTASERVER_TS4
0.58088 1:0.79339 2:0.424255 3:0.857860892696379 4:0.338 5:1 6:0.470999 7:1 8:0.627008 9:0.555829 10:0.575937 11:0.604164 12:0.4397 13:1 14:0.832638908706943 15:0.842696629213483 16:0.782022471910112 17:0.835858316738955 18:0.947845552083813 19:0.917977528089888 20:1.3574859216 21:0.5056 22:0.5506 23:0.9775 30:0.514219 #T0911:BAKER-ROSETTASERVER_TS5
0.53186 1:0.59069 2:0.40625 3:0.759240209003037 4:0.309 5:1 6:0.414388 7:1 8:0.517438 9:0.459584 10:0.488734 11:0.523678 12:0.4276 13:0.922219295642694 14:0.835278673553837 15:0.804494382022472 16:0.730337078651685 17:0.841311194775279 18:0.946591066149135 19:0.897752808988764 20:1.14894739471 21:0.3933 22:0.4944 23:0.7978 30:0.456028 #T0911:BhageerathH-Plus_TS1
0.50551 1:0.57540 2:0.385242 3:0.849484634539016 4:0.303 5:1 6:0.420057 7:1 8:0.547791 9:0.479939 10:0.515693 11:0.546898 12:0.4008 13:0.900965348927927 14:0.816557746639651 15:0.766292134831461 16:0.732584269662921 17:0.821533941702265 18:0.946148030081485 19:0.879775280898876 20:1.27867861555 21:0.2809 22:0.3708 23:0.8427 30:0.453696 #T0911:BhageerathH-Plus_TS2
0.45466 1:0.47900 2:0.375779 3:0.762781223975989 4:0.282 5:1 6:0.372203 7:1 8:0.515352 9:0.443032 10:0.476546 11:0.511133 12:0.3960 13:0.898078304154595 14:0.828386746953569 15:0.782022471910112 16:0.701123595505618 17:0.832200040400173 18:0.947901764717491 19:0.88876404494382 20:1.22131547754 21:0.3371 22:0.3371 23:0.7303 30:0.431049 #T0911:BhageerathH-Plus_TS3
0.56434 1:0.50033 2:0.407607 3:0.784941177245459 4:0.320 5:1 6:0.381306 7:1 8:0.526994 9:0.457052 10:0.51287 11:0.529563 12:0.4261 13:0.900470838487262 14:0.809466054050969 15:0.737078651685393 16:0.752808988764045 17:0.814316046557363 18:0.945081755221325 19:0.865168539325843 20:1.17512805411 21:0.382 22:0.4944 23:0.764 30:0.454259 #T0911:BhageerathH-Plus_TS4
0.44056 1:0.52512 2:0.370273 3:0.80621443599601 4:0.274 5:1 6:0.36868 7:1 8:0.503182 9:0.417338 10:0.466112 11:0.503665 12:0.3881 13:0.889478716913444 14:0.825675637110813 15:0.764044943820225 16:0.730337078651685 17:0.830819958423565 18:0.947183226882072 19:0.879775280898876 20:1.20869506213 21:0.3483 22:0.3596 23:0.7865 30:0.431429 #T0911:BhageerathH-Plus_TS5
0.54105 1:0.53080 2:0.456619 3:0.729360167986211 4:0.371 5:1 6:0.383823 7:0.983826066000449 8:0.4948 9:0.43486 10:0.479424 11:0.493967 12:0.4687 13:0.836035314553584 14:0.832981364687081 15:0.791011235955056 16:0.750561797752809 17:0.835920631904134 18:0.947838779584743 19:0.887640449438202 20:1.19137494183 21:0.4494 22:0.573 23:0.9888 30:0.482969 #T0911:FALCON_TOPOX_TS1
